category,date,contents,title
모두의공원,2019-03-18,"SK, , 인터넷을 가입 했는데 황당한 일을 당했다. 기가 인터넷 라이트를 가입했는데.. 가입 설명 시 비대칭형 상품이라는 고지 없이 가입진행을 해서.. 설치시에 ""비대칭 형이네요?"" 라고 하니.. 설치...",<span>와... SK<b>브로드</b><b>밴드</b> 한 번 써볼려다가.. 엄청 열받네요... : 클리앙</span>
모두의공원,2019-03-15,"규모를 밝히지 않아 안드로이드 이용자 표본조사로만 간접적으로 집계됐는데, 작년 9월만 해도 SK, ‘옥수수’(278만명)가 1위 서비스였다. LG유플러스 ‘U+모바일tv’(251만명), 지상파3사의 ‘푹’(123만...","<span>검색은 유튜브, 콘텐츠는 넷플릭스…영상 시장 장악하는 외국기업들. GISA : 클리앙</span>"
모두의공원,2019-03-10,"전에 전신주에 선만 따놓고 가셨었는데 어제 오셔서 함 연결해주시고 갔네요 다행이 HFC인줄 알았는데 찾아보니 Fibre 이네요 이제 저희 동내도 KT, 티브로드 빼고 다른 인터넷 쓸수 있겠네요 LG는 있긴 한데...",<span>드디어 <b>브로드</b><b>밴드</b>가 들어왔네요... : 클리앙</span>
모두의공원,2019-03-06,"SK,는 6일 서울 을지로 삼화빌딩에서 기자 간담회를 열고 '클라우드 PC' 서비스를 상용화한다고 밝혔다. 클라우드PC란 가상화 기술로 CPU(중앙처리장치)나 소프트웨어나 메모리 등을 구현, 마치 개인...","<span>SKB, PC본체도 셋톱도 필요없는 시대 연다. GISA : 클리앙</span>"
모두의공원,2018-06-22,월탱이 엄청 버벅 거리고해서 게임을 할수 없을정도네요 마우스 움직임이나 동작이나 모두 버벅거리네요. 진짜 망인듯 합니다.,<span>SK <b>브로드</b><b>밴드</b>의 문제인지..월탱이 문제인지</span>
모두의공원,2018-06-18,"KT의 정치자금 후원 동기에 대해 2014년~2015년 합산규제법 저지, 2015년~2016년 SK텔레콤(,)와 CJ헬로의 합병 저지, 또 황 회장의 국정 감사 출석제외와 은행법 개정 등 KT에 유리한 방향으로의 법...","<span>SKT, CJ헬로비전 합병 불발 이유??</span>"
모두의공원,2018-06-17,"허허허허 ,는 왜 그 모양이여",<span>sk t 와이파이 속도</span>
모두의공원,2018-09-13,"현대 하이마트 M2 모바일 카드인데 실적 30만원시 통신요금에서 1.7만 할인해 준다고 합니다 , 요금도 할인이 되는 모양이네요 라이트 할부랑은 다른 개념이니 필요하신분은 그냥 현대카드 전화해서...",<span>현대카드 SKT 통신요금 1.7만 할인카드가 나왔나보네요 : 클리앙</span>
모두의공원,2018-09-02,요새 광고 무지 나오는데 그다지 끌리지는 않는군요.....,<span>SK <b>브로드</b><b>밴드</b>가.....2.5 기가 서비스도 하나봐요?</span>
모두의공원,2019-02-13,"웹 사이트보다 더 빨리 전송된다. DPI에 의해 송신되는 패킷은 일반적인 한국 인터넷 사업자 (KT, SK,,LG U+)로부터 보듯이 0x0000이나 0x0001과 같은 IP 식별 필드를 가진다. 이 패킷들은, 만약 인터넷...",<span>GoodbyeDPI 란거 동작방식을 꺼라위키에서 보는데 : 클리앙</span>
모두의공원,2019-02-12,"새로운 기술방식을 협의하고, 관련 시스템의 차단 기능을 고도화 하였다. *KT, LG유플러스, SK,, 삼성SDS, KINX, 세종텔레콤, 드림라인 다만, 새로운 차단방식의 기술특성상 이용자가 차단된 불법...",<span>방통위 해명 보도 올라왔네요 : 클리앙</span>
모두의공원,2019-02-12,"등에 대해 단속하기가 어려워 ISP와 협력하는 레벨로 접근해서 https를 차단. 대상 ISP : KT, LG유플러스, SK,, 삼성SDS, KINX, 세종텔레콤, 드림라인 그냥 인터넷을 없애시지 왜 수고롭게 돈들여가면서",<span>https 차단 관련 방통위 공식 보도자료 떴네요.. : 클리앙</span>
모두의공원,2019-03-06,"들어가니, 기존 다른 결합건으로 할인받았던 기간은 다 제외라고 하네요?! 그러니까 저희집은, sk, 인터넷과 결합되어 있던 기간은 싹 제외입니다. 개인적으로 사용연수라는걸, 이전 할인받았던 기간...",<span>skt 온가족 할인신청 실패기 .. (연수계산에 참고가 되시라고 ..) : 클리앙</span>
모두의공원,2019-02-25,"무료 무료. 컨텐츠도 상당히 방대한 편이고, 3년이상 지난 영화는 웬만하면 무료로 품 그런면에서 SK,가 제일 창렬.. 컨텐츠도 적은 편이지만, 웬만큼 지난 영화도 악착같이 가격 매겨서 받음 IPTV 계...",<span>KT IPTV의 장점... : 클리앙</span>
모두의공원,2018-06-14,"SK,의 모바일 동영상 서비스 옥수수와 LG유플러스의 U+비디오포털이 지상파 방송사와 협상 타결로 러시아 월드컵을 생중계할 수 있게 됐다. 반면 양대 포털인 네이버와 다음에서는 월드컵 생중계를 못...",<span>옥수수·U+비디오포털서 월드컵 생중계…포털은 협상 결렬</span>
모두의공원,2018-06-05,하아..sk인터넷 너무 느려서 빨리 탈 skb하고싶네요. sk쓰기전에는 유플러스 썼었는데 유플러스는 나쁘지 않았던 기억이있었는데 한번도 안써본 kt를 써볼까요 ㅎㅎ 아 근데 핸드폰 통신사는 sk라서 묶어서 요금...,<span>드디어 sk<b>브로드</b><b>밴드</b> 인터넷+TV 3년약정이 이달말이네요.</span>
모두의공원,2018-06-04,"빠른 2.5기가 인터넷으로 바꾸었습니다. 사실 컴터랑 공유기 스펙이 1기가 제한이 있긴하지만, 아마도 SK,에서 설치해주는 공유기는 2.5기가 지원하는 녀석이겠죠 ㅋㅋ NAS를 거기에 물리려고 합니다...",<span>SK<b>브로드</b><b>밴드</b> 기가인터넷보다 250% 빠른 인터넷으로 변경했습니다!</span>
